,,D,T,E,EA72,EA48,EA24,EA1.25,A72,A48,A24,A1.25
4EBP-pT3746,1,0.7112496594002841,0.9360348030701466,1.2762664083451456,0.9004935238092969,1.4078620924728658,1.2506535411041249,1.283093939261142,0.8976918290085925,1.048667190016722,0.9079244859287864,0.6923150967394986
4EBP-pT3746,2,1.354597815893029,1.6850793808849325,0.7445824291457721,0.647903738568015,0.9846816211589103,0.8127327349590793,0.7926049912772455,0.7158870266379188,0.7054383975501227,1.1179730565246198,1.1863826286047519
4EBP-pT3746,3,1.149293109917631,0.9467040421192435,1.273742825114736,0.6151183549654515,0.8318581111512636,1.2106238339465112,1.149658478835001,1.0987812504148737,0.9001894130582558,0.8971099568630068,0.9057205358839545
Akt-pT308,0,0.674674686597281,0.7392980430272789,1.3691937937994287,,1.0195842345118638,1.4004290121855207,1.3101870914057903,,0.2911144267077489,0.6529221156136067,1.8903759187425813
Akt-pT308,1,0.5013777158204709,0.5615764234387314,1.8273007733665567,1.1396574300739972,1.7673167124552944,1.5648389797371236,2.663823705658941,0.43943310446856126,0.4274455511732235,0.5245288801368145,0.3897632402082291
Akt-pT308,2,0.36285042154477687,0.46069259893463427,2.8485843225618,1.3834684466141414,1.6001552135816914,1.2318949526901337,2.2939329379685987,0.3953708842772704,0.2398475616583614,0.23167420461615162,0.32938871598060576
Akt-pT308,3,0.7102277845392758,0.6747594289662425,1.3616453584963757,1.7181074635618716,1.2848164860764106,1.2031153333065656,1.6235348818662199,0.5593934078538264,0.5884513582136257,0.6030476187802573,0.791892615351941
Akt-pT308,4,0.5622826521254511,0.6090816235917217,1.8516810620560404,1.4137444467500033,1.4179681616563151,1.350069569479836,1.9728696542248874,0.4647324655332194,0.38671472443823984,0.5030432047867075,0.8503551225708392
ERK-pT202,0,1.9330372586083608,1.9666321855940503,3.6771976906880197,,0.11117119932067333,0.10185150526289574,0.02491997442674064,,0.1660807634529479,0.05558165380370643,0.01649240787273951
ERK-pT202,1,1.323654853759481,1.9282142936494737,6.205662772359897,0.4332077720871038,0.27223345948136135,0.19775875356117875,0.06663275719269346,0.20318954241562726,0.2777289369700109,0.28977051000865756,0.17813723073874024
ERK-pT202,2,2.3408405823934477,2.7393922158269586,4.400275216761305,0.137888771787798,0.08104921933777477,0.044033256159031954,0.1918027209155625,0.09182842919895373,0.07482791257710104,0.014379851842398086,0.004385137871779477
ERK-pT202,3,2.0279084250485697,3.1825414515758403,4.011604983573408,0.22617742884788106,0.21193912038028462,0.13269041377825963,0.05661187017638847,0.228294561783192,0.19618300180065712,0.07788009759010357,0.055759434746529106
ERK-pT202,4,1.9063602799524648,2.454195036661581,4.573685165845657,0.2657579909075943,0.1690982496300235,0.11908348219034152,0.08499183067784627,0.17443751113259098,0.17870515370017925,0.10940302831121641,0.06369355280744708
PDK1-pS241,1,0.38463101347609685,0.42369557044264494,1.2379350983685693,1.0254540020542637,1.2234969428761977,1.1677651159795712,1.2699873199888472,1.1786011267596834,1.1659233562176956,1.4713169947978961,1.1405087617018979
PDK1-pS241,2,0.7012701309810505,0.8113479227082709,0.7794921144897158,1.4284440544848072,1.4641798432411126,1.417431554253586,1.2496538970125077,1.0377125931984097,1.0082919899755938,0.8955498545452759,0.4944822516975585
PDK1-pS241,3,0.8074948228005201,0.8072328181600007,1.3034076097638057,0.9181223087636914,1.0627134071931055,1.3293711135201214,1.3252320233298567,1.1816687451682557,0.8961850778895262,0.7744425768234657,0.7305105094432656
PDK1-pS241,4,0.6959014164356149,0.7192792812841674,1.1925152516822686,1.1721041023400798,1.212748770217004,1.4603165040501032,1.1559951046465258,1.135666225250407,0.8562313821149564,0.8295605129302589,0.7536608579234847
PRAS40-pS183,1,1.0004217344343203,1.1719590433308777,1.0708781112452104,0.6835802056871058,0.897645662094918,0.7828059920498706,1.0421654847830022,1.2744241329737016,1.061383175428397,1.243991178635698,0.7848273554340349
PRAS40-pS183,2,0.7430318874864674,1.6574504591817572,1.0182595593736439,0.8814775339975158,1.0609947521590486,1.0537484647914785,1.323875855372161,1.065114960853358,0.8500158297856256,0.7131695982402011,0.6869918813646736
PRAS40-pS183,3,1.1634737094257206,1.3199011277426245,1.2256953095088405,0.6192691767136823,0.7760702602824314,1.070660245870155,1.057499061438806,1.0942504280502365,0.7883487379947931,0.8169086632302561,0.940352448973454
PRAS40-pS183,4,0.9288573497982142,1.1942146686138049,0.8592767866618649,0.8870923284451303,0.9011772549625424,0.9779503418564199,0.8411155838461801,1.1113213083995506,0.8394093202439433,1.254946606894251,1.1611686247830948
PRAS40-pT246,1,0.8765116882137909,1.0259788904510658,1.9105065369497731,1.3870595316975107,1.3125932628306651,1.4555211142432454,1.2802408166682981,0.5703200929188328,0.5589989031487159,0.5949559499532516,0.3373422580667031
PRAS40-pT246,2,0.975619799066149,1.1370935790247285,1.1482187305315095,0.43580773160341574,1.2709601092141702,0.7501526928883303,1.9654724204036298,0.847374104897615,0.3724870402211156,0.8759942975566364,1.2436797647239342
PRAS40-pT246,3,1.0275278676132096,1.120915403723479,1.4281890765492518,1.0002483393870294,1.0900867367891935,1.5467949179225302,1.3648025258990282,0.5896396866259828,0.49405629122023703,0.48234311586561235,0.8316339190039175
PRAS40-pT246,4,0.7428646021336137,1.1826148142312272,1.2446495302566023,1.1509765580904778,1.147039022452479,1.2921637124744463,1.122767521749722,0.5432910288824216,0.3870904620330493,0.9047450658976953,1.2478596630382424
SMAD2-pS465-467,0,0.16857550426137125,0.2844584710867396,0.9016616030019305,,1.2915476371109784,1.5900356739557608,1.282164030282883,,1.7138779021198751,1.3062249452626982,0.7948822902620263
SMAD2-pS465-467,1,0.1874125202966983,0.3624167043699158,1.3124449976801806,1.651750066398296,1.5584093383642816,1.351042028196274,0.9951390640929153,1.1950702646099172,1.279055343183541,1.2666922556823947,0.7323790943387777
SMAD2-pS465-467,2,0.2577614551923399,0.44305859878372666,1.424868294748678,1.1168010448574255,1.3100496748097912,1.517136849753749,1.0181943462455696,1.6034447933657339,1.3640116171741368,0.9302296912868125,0.37226963730086415
SMAD2-pS465-467,3,0.2362630961278955,0.3219763841666851,1.227066179424728,1.4184334866178234,1.46656353644304,1.5395492192650257,1.2168027833744657,1.4477662258462558,1.2553071267022067,0.8663051292313737,0.39197134355224833
SMAD2-pS465-467,4,0.21250314396957626,0.3529775396017668,1.2165102687138794,1.395661532624515,1.406642546682023,1.4994409427927025,1.1280750559989583,1.4154270946073024,1.4030629972949398,1.0923630053658198,0.5728755913634791
TSC2,0,0.4967428302120908,0.7890590198626684,0.9836218325356142,,0.45446736351899897,1.5074597150834863,0.5830164035733885,,1.7996335117623745,1.300873759379351,1.419973904350484
TSC2,1,0.24682897139278617,0.4081632747203105,0.8094938582402198,1.1920767831794872,1.1666598416002527,1.1145179817433628,0.8013245613016449,0.7174373776429868,1.3674833817601815,2.3870832552074783,1.4427830624233522
TSC2,2,0.46794712723764387,0.6821114701597516,0.658696992001413,0.7787106997700031,1.7621740911575352,0.8073520371114442,1.2249855308393396,1.411741407562657,1.1891380634604771,1.3523392416539013,0.9315940897418423
TSC2,3,0.6090166682985875,0.6075848665025889,0.9565221303063266,1.057625040886454,1.0800666014682692,1.1584797676449008,1.0520655034583979,1.5161930354933755,1.5416671568038038,0.9983288590717927,0.6489090916524869
TSC2,4,0.5134847591054155,0.5453918708086272,0.7238935624323678,1.2365737321554315,1.2086413687086928,1.464960885863537,1.0902799294844214,1.4654740437022609,1.3337779573343982,1.0434880619427644,0.6586735466401228
TSC2-pT1462,0,0.533565987020933,0.9067494482895561,1.3387297216950136,,0.6663410320537734,1.7001474405224102,0.45557027159070423,,1.3974768250083947,1.0596021307825967,0.9983151711269846
TSC2-pT1462,1,0.163377881022249,0.931502330324276,0.9873793037963998,1.5880070730852558,1.2865572821084348,1.8579847266681104,0.42430042452820876,1.196264336274446,1.5646906349953837,0.5643080673955881,0.9210684360200393
TSC2-pT1462,2,0.7184004090902688,0.4931561759925127,0.0886379101692291,0.15421090646775631,0.2197186586742668,0.27105700180177883,1.1284486131512816,1.9804529928870842,1.3492392263954482,2.3639391465057815,2.155204263665862
TSC2-pT1462,3,0.3493018049998365,0.3551091393452725,1.4685718015878766,2.2519557172053046,2.161705438651472,2.0436988466580828,0.9855428668952214,0.7242606332025154,0.5584773971433997,0.2393757315277726,0.3129528211084291
TSC2-pT1462,4,0.6647115970787113,0.8075588709170551,0.7169054327254847,1.74804832315759,1.533794816316428,1.053830454640149,0.3793668675065231,1.1589809076920494,0.928506456446576,0.9431433144693832,1.0935558911106487
S6K-pT389,0,1.5253461948763563,1.8842982726070054,0.5206628476418671,,0.4512848468185943,0.4114204620411368,0.3818736900869424,,0.8950390876103524,1.232568509299592,1.6394603493708357
S6K-pT389,1,1.3436197486374513,1.70353489781452,1.0240693872030167,0.612501798167575,0.7049480214969859,0.5794595045722627,0.45255902651697716,1.2646879700390252,0.8908372397598322,1.119687174126338,0.8343678460261773
S6K-pT389,2,1.7904345184889146,1.3589149842931407,0.4360524831364471,0.2962239512495514,0.334324757843816,0.5149218878260489,0.5662245062124303,1.7867709299580077,1.2871283103069495,0.8940287635812625,1.4431658970803807
S6K-pT389,3,1.9088537142316573,2.2753393340590597,0.5515895854272578,0.41561292612681255,0.47940131957987725,0.48542408411857624,0.4699503253151593,1.2050408935650323,0.9876854488179326,0.7428613230090929,1.1234844361939849
S6K-pT389,4,1.642063544058595,1.8055218721934314,0.6330935758521472,0.441446225181313,0.49248973643481836,0.49780648463950616,0.4676518870328773,1.4188332645206883,1.0151725216237668,0.9972864425040713,1.2601196321678447
